
1772,-2484,14832,-401,119,-122,

1808,-2372,14772,-391,120,-144,

1880,-2436,14720,-377,110,-116,

1088,-15960,-3808,-32768,-13579,-8453,

-112,-10536,15516,-7626,6294,145,

1876,-4976,13820,-147,121,-144,

1836,-4672,14292,-410,96,-122,

1928,-4524,14232,-363,128,-138,

1952,-4492,14352,-350,141,-148,

1992,-4348,14264,-406,125,-129,

2008,-4500,14404,-406,90,-110,

1964,-4468,14344,-355,125,-119,

1964,-4444,14428,-376,125,-122,

1932,-4504,14416,-312,103,-97,

1860,-4428,14340,-399,116,-133,

1916,-4372,14456,-415,149,-135,

1892,-4520,14280,-373,120,-113,

1948,-4360,14220,-604,130,-96,

1928,-4388,14236,-408,124,-113,

1872,-4448,14352,-428,149,-123,

1884,-4448,14300,-356,94,-133,

1920,-4376,14296,-430,105,-127,

1836,-4472,14260,-362,116,-113,

1956,-4512,14408,-438,116,-108,

1988,-4424,14388,-432,139,-99,

1900,-4440,14448,-377,142,-97,

1928,-4388,14548,-398,126,-124,

1920,-4400,14200,-658,102,-80,

1940,-4400,14224,-386,124,-138,

1916,-4380,14308,-403,107,-135,

1984,-4380,14096,-528,99,-101,

1980,-4348,14284,-415,114,-114,

1960,-4376,14412,-426,133,-123,

1948,-4452,14508,-398,81,-97,

1972,-4508,14368,-377,133,-107,

1904,-4432,14416,-405,121,-123,

1888,-4412,14460,-413,100,-97,

1884,-4448,14300,-398,118,-99,

1980,-4496,14284,-420,107,-95,

1892,-4464,14348,-360,115,-124,

1868,-4336,14272,-402,100,-111,

1936,-4444,14180,-287,106,-139,

2096,-4448,14432,-429,124,-102,

1860,-4368,14324,-421,125,-120,

1980,-4384,14372,-404,130,-98,

1940,-4432,14272,-412,122,-110,

1940,-4328,14196,-379,120,-114,

1968,-4528,14348,-412,129,-127,

1908,-4484,14440,-410,115,-107,

1912,-4420,14292,-442,109,-139,

1928,-4436,14460,-417,130,-110,

1984,-4400,14300,-354,108,-95,

1928,-4388,14372,-374,130,-121,

1868,-4444,14256,-414,141,-110,

1928,-4432,14384,-383,117,-106,

1916,-4456,14284,-572,138,-95,

1928,-4408,14244,-416,100,-117,

1888,-4548,14372,-341,99,-127,

1908,-4424,14356,-424,115,-99,

1904,-4556,14252,-429,123,-106,

1940,-4380,14312,-379,116,-116,

1904,-4456,14408,-429,110,-103,

2044,-4372,14248,-402,112,-139,

1840,-4404,14332,-425,109,-107,

1844,-4432,14456,-341,126,-115,

1840,-4424,14236,-472,140,-111,

1892,-4532,14268,-384,115,-136,

2064,-4488,14384,-459,117,-116,

