
1968,-4332,14292,-413,121,-130,

2020,-4412,14336,-405,123,-121,

1932,-4452,14240,-410,108,-107,

1904,-4396,14228,-406,152,-115,

2016,-4444,14356,-426,96,-98,

1936,-4488,14320,-395,113,-129,

2000,-4436,14368,-408,130,-120,

1980,-4520,14316,-392,140,-105,

1924,-4472,14248,-394,113,-95,

1924,-4496,14368,-415,107,-118,

1920,-4480,14276,-408,116,-109,

1956,-4476,14240,-381,115,-107,

1888,-4404,14412,-441,130,-119,

1924,-4508,14396,-447,117,-98,

1912,-4496,14276,-367,139,-119,

1852,-4476,14340,-4,124,-147,

1936,-4420,14220,-411,126,-93,

1932,-4400,14276,-457,103,-121,

1840,-4468,14200,-497,107,-99,

1892,-4472,14244,-324,126,-129,

1852,-4284,14272,-396,112,-123,

1996,-4404,14184,-406,124,-102,

1924,-4468,14276,-307,139,-125,

1996,-4468,14380,-336,101,-116,

1944,-4456,14248,-388,126,-107,

1908,-4420,14260,-464,92,-97,

1936,-4396,14204,-429,130,-119,

1972,-4556,14240,-373,114,-112,

1892,-4460,14356,-184,122,-159,

1932,-4512,14276,-421,115,-96,

1968,-4448,14284,-419,121,-104,

1972,-4552,14240,-446,114,-127,

2008,-4364,14204,-451,106,-129,

1956,-4472,14292,-380,117,-132,

2000,-4520,14436,-405,128,-105,

2028,-4380,14392,-406,91,-120,

1932,-4432,14192,-341,110,-102,

1920,-4516,14296,-423,111,-102,

1932,-4332,14244,-358,125,-100,

1924,-4440,14244,-343,116,-113,

1960,-4448,14360,-405,126,-130,

1852,-4168,14252,-829,30,-84,
